1,@ES,@ES.D,Emini S&P 500,Indices,12.5,4,,,500,9,1.5,1.5,1,1
2,@YM,@YM.D,Emini Dow 30,Indices,5,1,,,500,9,1.5,1.5,1,1
3,@NQ,@NQ.D,Emini NASDAQ,Indices,5,4,,,500,9,1.5,1.5,1,1
4,@RTY,@RTY.D,Emini Russell,Indices,0.1,10,,,500,9,1.5,1.5,1,1
5,@EMD,@EMD.D,Emini MidCap 400,Indices,10,10,,,3350,9,1.5,1.5,1,1
6,@CL,@CL,Crude Oil,Energies,10,100,,,1012,7,1.5,1.5,1,1
7,@NG,@NG,Natural Gas,Energies,10,10,,,1238,7,1.5,1.5,1,1
8,@RB,@RB,RBOB Gasoline,Energies,4.2,100,,,2805,7,1.5,1.5,1,1
9,@HO,@HO,Heating Oil,Energies,4.2,100,,,2970,7,1.5,1.5,1,1
10,@GC,@GC,Gold,Metals,10,10,,,825,10,1.5,1.5,1,1
11,@SI,@SI,Silver,Metals,25,200,,,6600,3,1.5,1.5,1,1
12,@HG,@HG,Copper,Metals,12.5,20,,,1705,2,1.5,1.5,1,1
13,@ZC,@ZC,Corn,Agricultures,12.5,4,,,1182,5,1.5,1.5,1,1
14,@S,@S,Soybeans,Agricultures,12.5,4,,,1958,5,1.5,1.5,1,1
15,@ZW,@ZW,Wheat,Agricultures,12.5,4,,,945,5,1.5,1.5,1,1
16,@LC,@LC,Live Cattle,Agricultures,10,40,,,506,6,1.5,1.5,1,1
17,@HE,@HE,Live Hogs,Agricultures,10,40,,,675,6,1.5,1.5,1,1
18,@ZM,@ZM,Soybean Meal,Agricultures,10,10,,,1519,5,1.5,1.5,1,1
19,@ZL,@ZL,Soybean Oil,Agricultures,6,100,,,1013,5,1.5,1.5,1,1
20,@CC-M,@CC-M,Cocoa,Agricultures,10,1,,,550,0,1.5,1.5,1,1
21,@KC-M,@KC-M,Coffee,Agricultures,18.75,20,,,1183,0,1.5,1.5,1,1
22,@SB-M,@SB-M,Sugar,Agricultures,11.2,100,,,275,0,1.5,1.5,1,1
23,@CT-M,@CT-M,Cotton,Agricultures,5,100,,,825,0,1.5,1.5,1,1
24,@GE,@GE,Eurodollars,Interest Rates,12.5,200,,,358,0,1.5,1.5,1,1
25,@ZB,@ZB,30 Year Bonds,Interest Rates,31.25,32,,,1980,0,1.5,1.5,1,1
26,@ZN,@ZN,10 Year Bonds,Interest Rates,15.625,64,,,743,0,1.5,1.5,1,1
27,@ZF,@ZF,5 Year Notes,Interest Rates,15.625,64,,,495,0,1.5,1.5,1,1
28,@ZT,@ZT,2 Year Notes,Interest Rates,15.625,128,,,358,0,1.5,1.5,1,1
29,@ZQ,@ZQ,Fed Funds,Interest Rates,10.4175,400,,,368,0,1.5,1.5,1,1
