DP_1TF_30m_sess9: L_S_B	DP_1TF_30m_sess9: POI_Switch	DP_1TF_30m_sess9: NATR	DP_1TF_30m_sess9: Fract	DP_1TF_30m_sess9: Filter1_Switch	DP_1TF_30m_sess9: Filter1_N1	DP_1TF_30m_sess9: Filter1_N2	DP_1TF_30m_sess9: Tsegment	All: Robustness Index	All: Perfect Profit Correlation	All: Pessimistic Return On Capital	All: Expectancy Score	All: TS Index	All: Return on Account	All: Required Account Size	All: Max Contracts Held	All: ProfitFactor	All: Max Intraday Drawdown	All: Avg Bars in Loser	All: Avg Bars in Winner	All: Max Consecutive Losers	All: Max Consecutive Winners	All: Avg Trade	All: Win/Loss Ratio	All: Avg Losing Trade	All: Avg Winning Trade	All: Max Losing Trade	All: Max Winning Trade	All: Losing Trades	All: Winning Trades	All: % Profitable	All: Total Trades	All: Gross Loss	All: Gross Profit	All: Net Profit	Test
2	6	55	1.95	2	1	2	1	-44.1301492	1886.9057667	0.0137835	0.1544076	5.7035176	114.0703518	1990.0000000	1	1.9700855	-1990.0000000	9	8	3	2	252.2222222	1.5760684	-585.0000000	922.0000000	-820.0000000	2050.0000000	4	5	55.5555556	9	-2340.0000000	4610.0000000	2270.0000000	24995
2	5	5	2.40	31	7	13	1	1253.1750946	422.4035199	0.0058336	-1.2303498	5.1739130	24.6376812	4140.0000000	1	1.0868085	-4140.0000000	11	10	5	6	22.1739130	1.2938196	-470.0000000	608.0952148	-1030.0000000	2570.0000000	25	21	45.6521739	46	-11750.0000000	12770.0000000	1020.0000000	24992
2	5	25	0.75	19	15	15	3	39.2844857	5141.3981905	0.0445519	6.3007643	93.5000000	467.5000000	1200.0000000	1	2.9479167	-1200.0000000	3	5	4	7	160.2857143	2.2109375	-192.0000000	424.5000000	-760.0000000	2390.0000000	15	20	57.1428571	35	-2880.0000000	8490.0000000	5610.0000000	24985
2	2	40	2.25	4	7	18	1	-35.9214957	-6960.6060087	-0.0587810	-5.0772808	-1.9628253	-98.1412639	8070.0000000	1	0.0434783	-8070.0000000	10	9	7	1	-528.0000000	0.2826087	-636.9230957	180.0000000	-1680.0000000	350.0000000	13	2	13.3333333	15	-8280.0000000	360.0000000	-7920.0000000	24982
3	8	30	0.90	15	4	19	1	249.4301189	4713.8001651	0.0583287	2.3085315	64.0330579	98.5123967	6050.0000000	1	1.2125535	-6050.0000000	10	10	4	6	53.2142857	0.8767694	-596.5957642	523.0769043	-1890.0000000	2220.0000000	47	65	58.0357143	112	-28040.0000000	34000.0000000	5960.0000000	24973
1	2	5	2.40	6	2	10	1	-56.9525336	3782.7447071	0.0254700	0.0000000	70.0444444	875.5555556	450.0000000	1	100.0000000	-450.0000000	0	9	0	8	492.5000000	100.0000000	0.0000000	492.5000000	0.0000000	1430.0000000	0	8	100.0000000	8	0.0000000	3940.0000000	3940.0000000	24966
2	6	5	2.10	9	4	2	1	-5.0508625	-1519.6709788	-0.0100591	-1.1944260	-2.2523659	-75.0788644	3170.0000000	1	0.2539185	-3170.0000000	11	9	2	2	-396.6666667	0.2539185	-1063.3333740	270.0000000	-1950.0000000	520.0000000	3	3	50.0000000	6	-3190.0000000	810.0000000	-2380.0000000	24965
1	5	25	1.35	14	12	10	1	209.8913952	8895.6390648	0.0904219	5.4729401	122.8500000	315.0000000	3200.0000000	1	1.8463476	-3200.0000000	11	10	3	8	160.0000000	1.0888716	-517.8261108	563.8461304	-1430.0000000	2440.0000000	23	39	61.9047619	63	-11910.0000000	21990.0000000	10080.0000000	24964
1	8	30	0.75	8	15	10	2	-29.1346893	9354.5301385	0.0925106	7.7425315	176.1894150	279.6657382	3590.0000000	1	1.5972635	-3590.0000000	6	6	6	8	93.8317757	1.0648424	-400.2380981	426.1904907	-2000.0000000	1630.0000000	42	63	58.8785047	107	-16810.0000000	26850.0000000	10040.0000000	24962
2	4	20	1.05	25	6	13	0	-114.4862155	-96.7369044	-0.0005943	-1.6969933	2.9095355	8.5574572	4090.0000000	1	1.0172244	-4090.0000000	9	9	4	4	4.6052632	1.2565713	-483.8095093	607.9411621	-1670.0000000	2570.0000000	42	34	44.7368421	76	-20320.0000000	20670.0000000	350.0000000	24961
