id,proto_id,cand_id,sec_id,symbol,robust_level,strategy_file,strategy_oos_file,session_id,timeframe_1,timeframe_1_unit,timeframe_2,timeframe_2_unit,max_days_back,oos_start_dt,oos_end_dt,use_second_data,lsb,trades_per_day,day_swing,poi_switch,poi_n1,natr,fract,filter_1_switch,filter_1_n1,filter_1_n2,filter_2_switch,filter_2_n1,filter_2_n2,t_segment,sl_switch,stop_loss,pt_switch,profit_target,fitness_function,input_vars,reopt_period_days,next_reopt_dt,next_reopt_start_dt,next_reopt_end_dt,oos_param_history,status,status_state,start_run,end_run,mi_id,mi_n1,mi_n2,comm_entry_dol,comm_exit_dol,slippage_entry_dol,slippage_exit_dol,dow_id,dow_n1,dow_n2,dow_opt,mi_opt,parent_id,strat_type
84,1,20,4,@RTY.D,0,s_84.txt,s_84_oos.txt,9,120,min,,,200,1/6/11,12/27/17,f,3,1,0,3,0,60,1.2,16,12,5,,,,1,0,1000,0,1000,TSI,NATR:int Fract:double Filter1_N1:int Filter1_N2:int SL_switch:int SL:int PT_switch:int PT:int,255,9/8/18,11/30/15,9/8/18,"50  0.90  12  6  0  1000  0  1000  	2011/01/06 - 2011/09/19	256	525	4,300.00	-2,730.00	2.73%	92	54.35%	1.34	46.74	274.77	22.50	1.59	2.25	5.31%	50  0.90  12  6  0  1000  0  1000  
50  0.90  14  8  0  1000  0  1000  	2011/09/19 - 2012/05/31	255	525	5,675.00	-1,110.00	1.11%	100	58.00%	1.23	56.75	304.41	32.50	1.69	7.32	3.26%	50  0.90  14  8  0  1000  0  1000  
50  0.90  14  8  0  1000  0  1000  	2012/05/31 - 2013/02/13	258	525	3,510.00	-1,060.00	1.06%	100	56.00%	1.19	35.10	215.61	35.00	1.52	4.68	5.34%	50  0.90  14  8  0  1000  0  1000  
50  0.90  14  8  0  1000  0  1000  	2013/02/13 - 2013/10/24	253	525	2,850.00	-1,905.00	1.91%	98	52.04%	1.29	29.08	247.95	15.00	1.40	2.16	12.42%	50  0.90  14  8  0  1000  0  1000  
70  1  14  8  0  1000  0  1000  	2013/10/24 - 2014/07/09	259	525	-3,180.00	-5,060.00	5.06%	95	43.16%	0.97	-33.47	295.28	-20.00	0.73	-0.89	13.60%	70  1  14  8  0  1000  0  1000  
65  0.90  9  5  0  1000  0  1000  	2014/07/09 - 2015/03/18	252	525	2,055.00	-1,740.00	1.74%	61	59.02%	0.89	33.69	369.01	50.00	1.28	1.71	23.93%	65  0.90  9  5  0  1000  0  1000  
50  0.90  14  3  0  1000  0  1000  	2015/03/18 - 2015/11/24	251	525	8,630.00	-1,370.00	1.37%	103	51.46%	1.82	83.79	383.53	20.00	1.93	9.16	1.44%	50  0.90  14  3  0  1000  0  1000  
55  0.90  14  3  0  1000  0  1000  	2015/11/24 - 2016/08/08	258	525	1,825.00	-2,025.00	2.02%	54	50.00%	1.31	33.80	331.84	2.50	1.31	1.28	22.88%	55  0.90  14  3  0  1000  0  1000  
55  0.90  14  3  0  1000  0  1000  	2016/08/08 - 2017/04/20	255	525	1,495.00	-2,310.00	2.31%	89	51.69%	1.09	16.80	295.51	30.00	1.17	0.93	29.66%	55  0.90  14  3  0  1000  0  1000  
60  0.90  9  8  0  1000  0  1000  	2017/04/20 - 2017/12/27	251	528	5,715.00	-1,370.00	1.37%	83	51.81%	1.81	68.86	295.76	5.00	1.95	6.07	1.85%	60  0.90  9  8  0  1000  0  1000  
